ID,Filter,Control,Disease,isUsed,Excluded,Note,KO.Gene,Note,org
GSE38642,,ID1$|ID2$|ID3$|ID4$|ID5$|ID6$|ID7$|ID8$|ID9$|ID10$|ID13$|ID14$|ID15$|ID16$|ID19$|ID20$|ID21$|ID22$|ID23$|ID24$|ID25$|ID26$|ID27$|ID28$|ID29$|ID30$|ID31$|ID32$|ID33$|ID34$|ID35$|ID36$|ID37$|ID38$|ID39$|ID40$|ID43$|ID44$|ID46$|ID47$|ID48$|ID52$|ID53$|ID54$|ID55$|ID56$|ID57$|ID58$|ID59$|ID60$|ID61$|ID62$|ID63$|ID66$,,1,,,pancreatic,,hsa
GSE24739,G0,Normal,,1,,,,,hsa
GSE24739,G1,Normal,,1,,,,,hsa
GSE33075,,NOLEU,,1,,,,,hsa
GSE24739,,,,0,,Already used with G0 and G1,,,hsa
GSE1418,,control,,1,,,,,hsa
GSE7305,,Normal,,1,,,,,hsa
GSE63678,,normal,,1,,,,,hsa
GSE7803,,Normal,,1,,,,,hsa
GSE17025,,TP02-402|TP02-478|TP06-612|TP06-708|TP06-727-993|TP06-855|TP06-872-lcm|TP06-963|TP06-987|TP06-998|TP07-152|TP07-726B,,1,,,endometrial cancer,,hsa
GSE36389,,endometrium4$|endometrium5$|endometrium6$|endometrium13$|endometrium16$|endometrium17$|endometrium24$,,1,,,endometrial cancer,,hsa
GSE17156,,,,0,,Not support platforms,Influenza ,,hsa
GSE21802,,,,0,,Not support platforms,Influenza ,,hsa
GSE27131,,,,0,,Not support platforms,Influenza ,,hsa
GSE29366,,,,0,,Not support platforms,Influenza ,,hsa
GSE34205,influenza,healthy,,1,,,Influenza ,,hsa
GSE40012,,,,0,,Not support platforms,Influenza ,,hsa
GSE42026,,,,0,,Not support platforms,Influenza ,,hsa
GSE71766,,,,0,,Not support platforms,Influenza ,,hsa
GSE82050,,,,0,,Not support platforms,Influenza ,,hsa
GSE48466,,uninfected,,1,,,Influenza ,,hsa
GSE30723,ATII,control,,1,,,Influenza ,,hsa
GSE30723,AMs,control,,1,,,Influenza ,,hsa
GSE40281,,control,,1,,,Influenza ,,hsa
GSE4757,,normal,,1,,,Alzheimer's disease,,hsa
GSE18309,,Normal,disease,1,,,Alzheimer's disease,,hsa
GSE16759,mRNA,Control,disease,1,,,Alzheimer's disease,,hsa
GSE48350,entorhinal,indiv,AD,1,,,Alzheimer's disease,,hsa
GSE48350,hippocampus,indiv,AD,1,,,Alzheimer's disease,,hsa
GSE48350,central,indiv,AD,1,,,Alzheimer's disease,,hsa
GSE48350,frontal,indiv,AD,1,,,Alzheimer's disease,,hsa
GSE28146,,Control,,1,,,Alzheimer's disease,,hsa
GSE6613,,healthy,Parkinson,1,,,Parkinson's disease,,hsa
GSE12685,,Control,Incipient,1,,,Alzheimer's disease,,hsa
GSE20163,,114_U133A|178_U133A|204_U133A|222_U133A|223_U133A|238_U133A|252_U133A|287_U133A|290_U133A,2515_U133A|2525_U133A|2721_U133A|2729_U133A|3059_U133A|4831_U133A|5164_U133A|14_U133A,1,,,Parkinson's disease,,hsa
